Titre du rapport
Code du département	Libellé du département	Nom de l'élu	Prénom de l'élu	Date de naissance	Code sexe	Code profession	Libellé de la profession	Date de début du mandat	Date de fin du mandat	Motif de fin de mandat	N° Identification d'un élu	Nuance politique (Sénateur)
01	AIN	BERTHOU	Jacques	3/3/1940	M	64	Retraités des entreprises publiques	21/9/2008	30/9/2014	FM	106690	DVG
01	AIN	CHAIZE	Patrick	22/3/1963	M	56	Autres professions	28/9/2014	30/9/2014	FM	876374	UMP
01	AIN	CHAIZE	Patrick	22/3/1963	M	56	Autres professions	1/10/2014			876374	UMP
01	AIN	EMIN	Jean-Paul	17/6/1939	M	56	Autres professions	28/9/1998	20/9/2008	FM	173	UMP
01	AIN	GOY-CHAVENT	Sylvie	23/5/1963	F	42	Professeurs du secondaire et techn.	21/9/2008	30/9/2014	FM	1174432	UMP
01	AIN	GOY-CHAVENT	Sylvie	23/5/1963	F	42	Professeurs du secondaire et techn.	1/10/2014			1174432	UDI
01	AIN	MAZUIR	Rachel	12/2/1940	M	62	Retraités de l'enseignement	21/9/2008	30/9/2014	FM	534594	SOC
01	AIN	MAZUIR	Rachel	12/2/1940	M	62	Retraités de l'enseignement	1/10/2014			534594	SOC
01	AIN	PEPIN	Jean	23/11/1939	M	54	Permanents politiques	28/9/1998	20/9/2008	FM	166	UMP
02	AISNE	ANDRE	Pierre	29/6/1947	M	50	Cadres sup. (entreprises publiques)	28/9/1998	20/9/2008	FM	167	UMP
02	AISNE	ANDRE	Pierre	29/6/1947	M	50	Cadres sup. (entreprises publiques)	21/9/2008	30/9/2014	FM	167	UMP
02	AISNE	DAUDIGNY	Yves	23/2/1947	M	62	Retraités de l'enseignement	21/9/2008	30/9/2014	FM	3414	SOC
02	AISNE	DAUDIGNY	Yves	23/2/1947	M	62	Retraités de l'enseignement	1/10/2014			3414	SOC
02	AISNE	GIROD	Paul	27/6/1931	M	58	Retraités agricoles	28/9/1998	20/9/2008	FM	168	UMP
02	AISNE	GRUNY	Pascale	18/2/1960	F	19	Autres cadres (secteur privé)	1/10/2014			801251	UMP
02	AISNE	LEFEVRE	Antoine	18/2/1966	M	57	Sans profession déclarée	21/9/2008	30/9/2014	FM	81773	UMP
02	AISNE	LEFEVRE	Antoine	18/2/1966	M	57	Sans profession déclarée	1/10/2014			81773	UMP
03	ALLIER	BARRAUX	Bernard	5/2/1935	M	65	Autres retraités	28/9/1998	20/9/2008	FM	170	UMP
03	ALLIER	DERIOT	Gérard	1/11/1944	M	60	Retraités des professions libérales	28/9/1998	20/9/2008	FM	171	UMP
03	ALLIER	DERIOT	Gérard	1/11/1944	M	60	Retraités des professions libérales	21/9/2008	30/9/2014	FM	171	UMP
03	ALLIER	DERIOT	Gérard	1/11/1944	M	60	Retraités des professions libérales	1/10/2014			171	UMP
03	ALLIER	MALHURET	Claude	8/3/1950	M	24	Médecins	1/10/2014			150149	UMP
03	ALLIER	SCHURCH	Mireille	4/1/1949	F	42	Professeurs du secondaire et techn.	21/9/2008	30/9/2014	FM	150307	COM
04	ALPES DE HAUTE PROVENCE	DOMEIZEL	Claude	16/5/1940	M	62	Retraités de l'enseignement	28/9/1998	20/9/2008	FM	172	SOC
04	ALPES DE HAUTE PROVENCE	DOMEIZEL	Claude	16/5/1940	M	62	Retraités de l'enseignement	21/9/2008	30/9/2014	FM	172	SOC
04	ALPES DE HAUTE PROVENCE	ROUX	Jean-Yves	18/1/1970	M	14	Agents technique et techniciens	1/10/2014			521	SOC
05	HAUTES ALPES	BERNARD-REYMOND	Pierre	16/1/1944	M	18	Cadres supérieurs (secteur privé)	25/1/2007	20/9/2008	FM	94535	UMP
05	HAUTES ALPES	BERNARD-REYMOND	Pierre	16/1/1944	M	18	Cadres supérieurs (secteur privé)	21/9/2008	30/9/2014	FM	94535	DVD
05	HAUTES ALPES	DUSSERRE	Jean-Yves	1/1/1953	M	54	Permanents politiques	1/10/2014	28/12/2014	DC	150066	UMP
05	HAUTES ALPES	MORHET-RICHAUD	Patricia	28/7/1961	F	20	Employés (secteur privé)	28/12/2014			275871	UMP
06	ALPES MARITIMES	BALARELLO	José	24/12/1926	M	29	Avocats	28/9/1998	20/9/2008	FM	175	UMP
06	ALPES MARITIMES	DAUNIS	Marc	22/4/1955	M	42	Professeurs du secondaire et techn.	21/9/2008	30/9/2014	FM	97987	SOC
06	ALPES MARITIMES	DAUNIS	Marc	22/4/1955	M	42	Professeurs du secondaire et techn.	1/10/2014			97987	SOC
06	ALPES MARITIMES	ESTROSI-SASSONE	Dominique	14/11/1958	F	57	Sans profession déclarée	1/10/2014			1181113	UMP
06	ALPES MARITIMES	GINESY	Charles	12/5/1922	M	65	Autres retraités	28/9/1998	20/9/2008	FM	176	UMP
06	ALPES MARITIMES	GIUDICELLI	Colette	24/11/1943	F	57	Sans profession déclarée	21/9/2008	30/9/2014	FM	46466	UMP
06	ALPES MARITIMES	GIUDICELLI	Colette	24/11/1943	F	57	Sans profession déclarée	1/10/2014			46466	UMP
